time,more aversion,less aversion,neutrality
0.0,0.0,0.0,0.0
0.08333333333333333,0.0,0.0,0.0
0.16666666666666666,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.3333333333333333,0.0,0.0,0.0
0.41666666666666663,0.0,0.0,0.0
0.49999999999999994,0.0,0.0,0.0
0.5833333333333333,0.0,0.0,0.0
0.6666666666666666,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.8333333333333334,0.0,0.0,0.0
0.9166666666666667,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0833333333333333,0.0,0.0,0.0
1.1666666666666665,0.0,0.0,0.0
1.2499999999999998,0.0,0.0,0.0
1.333333333333333,0.0,0.0,0.0
1.4166666666666663,0.0,0.0,0.0
1.4999999999999996,0.0,0.0,0.0
1.5833333333333328,0.0,0.0,0.0
1.666666666666666,0.0,0.0,0.0
1.7499999999999993,0.0,0.0,0.0
1.8333333333333326,0.0,0.0,0.0
1.9166666666666659,0.0,0.0,0.0
1.9999999999999991,0.0,0.0,0.0
2.0833333333333326,0.0,0.0,0.0
2.166666666666666,0.0,0.0,0.0
2.2499999999999996,0.0,0.0,0.0
2.333333333333333,0.0,0.0,0.0
2.4166666666666665,0.0,0.0,0.0
2.5,0.0,0.0,0.0
2.5833333333333335,0.0,0.0,0.0
2.666666666666667,0.0,0.0,0.0
2.7500000000000004,0.0,0.0,0.0
2.833333333333334,0.0,0.0,0.0
2.9166666666666674,0.0,0.0,0.0
3.000000000000001,0.0,0.0,0.0
3.0833333333333344,0.0,0.0,0.0
3.166666666666668,0.0,0.0,0.0
3.2500000000000013,0.0,0.0,0.0
3.333333333333335,0.0,0.0,0.0
3.4166666666666683,0.0,0.0,0.0
3.5000000000000018,0.0,0.0,0.0
3.5833333333333353,0.0,0.0,0.0
3.6666666666666687,0.0,0.0,0.0
3.750000000000002,0.0,0.0,0.0
3.8333333333333357,0.0,0.0,0.0
3.916666666666669,0.0,0.0,0.0
4.000000000000003,0.0,0.0,0.0
4.083333333333336,0.0,0.0,0.0
4.166666666666669,0.0,0.0,0.0
4.250000000000002,0.0,0.0,0.0
4.333333333333335,0.0,0.0,0.0
4.416666666666668,0.0,0.0,0.0
4.500000000000001,0.0,0.0,0.0
4.583333333333334,0.0,0.0,0.0
4.666666666666667,0.0,0.0,0.0
4.75,0.0,0.0,0.0
4.833333333333333,0.0,0.0,0.0
4.916666666666666,0.0,0.0,0.0
4.999999999999999,0.0,0.0,0.0
5.083333333333332,0.0,0.0,0.0
5.166666666666665,0.0,0.0,0.0
5.249999999999998,0.0,0.0,0.0
5.333333333333331,0.0,0.0,0.0
5.416666666666664,0.0,0.0,0.0
5.499999999999997,0.0,0.0,0.0
5.58333333333333,0.0,0.0,0.0
5.666666666666663,0.0,0.0,0.0
5.7499999999999964,0.0,0.0,0.0
5.8333333333333295,5.861512777670835e-09,0.0,0.0
5.9166666666666625,2.712397801879023e-07,0.0,0.0
5.999999999999996,2.012766290755222e-07,0.0,2.9548110707438916e-08
6.083333333333329,2.5874936709216866e-07,4.8229855914133315e-08,2.0828140701062548e-07
6.166666666666662,1.9834141021709327e-07,4.276943222085864e-09,1.9413292684238176e-07
6.249999999999995,3.0594792566772835e-07,6.883315219334082e-08,1.6731844398026113e-07
6.333333333333328,3.4804805928691435e-07,2.3859795008178024e-07,2.0483553685305618e-07
6.416666666666661,4.7615476083168497e-07,4.177039662903853e-07,2.8492941908131686e-07
6.499999999999994,3.7054759070035245e-07,6.584063111320001e-07,4.2921343542217465e-07
6.583333333333327,3.4202887939504834e-07,4.941046826128973e-07,5.749644407200327e-07
6.66666666666666,6.521872438822717e-07,3.974477276990434e-07,7.014427274450973e-07
6.749999999999993,6.852287890061927e-07,2.7791125594831557e-07,8.87649567745341e-07
6.833333333333326,7.849788330969143e-07,3.082254718176053e-07,1.0369156866947725e-06
6.916666666666659,8.907054308723329e-07,5.735249539674588e-07,1.547931703603276e-06
6.999999999999992,1.163890801646165e-06,5.909297654003443e-07,1.938361661044307e-06
7.083333333333325,1.1989278706640253e-06,8.885074032001629e-07,2.3447479228461226e-06
7.166666666666658,1.4834133619977654e-06,9.284379412146364e-07,2.819101885542056e-06
7.249999999999991,1.3673551579087097e-06,1.2843507777233945e-06,3.248121697278348e-06
7.333333333333324,1.502390615244243e-06,1.5660123706395322e-06,3.676798885661166e-06
7.416666666666657,1.8602227607178674e-06,2.22912340910829e-06,4.092859314298721e-06
7.49999999999999,2.1954910780078143e-06,2.5878229983723733e-06,4.72736525465236e-06
7.583333333333323,2.317011514336441e-06,3.0761636381510174e-06,5.302389101846327e-06
7.666666666666656,3.3959992823524596e-06,3.8492083298117205e-06,5.7036043566588324e-06
7.749999999999989,3.893550303922997e-06,4.827052801535255e-06,6.2306373958090794e-06
7.833333333333322,4.8949693677731514e-06,5.8925092287600206e-06,7.763616063669978e-06
7.916666666666655,5.956683343550838e-06,7.242181080678654e-06,8.646187770776028e-06
7.9999999999999885,7.1949252949792844e-06,7.679750550392421e-06,9.893508046167735e-06
8.083333333333321,7.532147966447018e-06,9.080278660880732e-06,1.159217777630657e-05
8.166666666666655,8.634728848181423e-06,1.0736335537924826e-05,1.3604301459201764e-05
8.24999999999999,1.0937271961373378e-05,1.2050016033782944e-05,1.5134898293414338e-05
8.333333333333323,1.2973489030600898e-05,1.3406029016977104e-05,1.7033340148639423e-05
8.416666666666657,1.4545825900516024e-05,1.4718481415341043e-05,1.879573631807696e-05
8.499999999999991,1.6276830328767238e-05,1.60929399894558e-05,2.0828712614207346e-05
8.583333333333325,1.8782618822935017e-05,1.7205338018019366e-05,2.288395725884928e-05
8.666666666666659,2.0494149896807983e-05,1.8525552719646934e-05,2.566547664032644e-05
8.749999999999993,2.346405906753662e-05,2.07096671915492e-05,2.7166472020834515e-05
8.833333333333327,2.7146675095929223e-05,2.2702356474936362e-05,3.0464561684797274e-05
8.91666666666666,3.059245508462816e-05,2.487666209287252e-05,3.3572905396439357e-05
8.999999999999995,3.5437250812073726e-05,2.834806293845051e-05,3.72846310298859e-05
9.083333333333329,4.077869163403527e-05,3.158512968835239e-05,4.1633480129984333e-05
9.166666666666663,4.6913210175893e-05,3.6975191690806536e-05,4.6569401263702266e-05
9.249999999999996,5.0749628030716406e-05,4.289991380128193e-05,5.073580024909879e-05
9.33333333333333,5.625894719712962e-05,4.682206649743544e-05,5.310749372091529e-05
9.416666666666664,6.268066449620135e-05,5.1544653786309026e-05,5.672697518250334e-05
9.499999999999998,6.819951895646992e-05,5.6481859601826186e-05,6.112229596799577e-05
9.583333333333332,7.354393382115041e-05,5.992165973686374e-05,6.581315390891305e-05
9.666666666666666,8.093603649994971e-05,6.417767530987729e-05,7.224179065734166e-05
9.75,8.851761351785315e-05,6.976882475662502e-05,7.952784948829224e-05
9.833333333333334,9.704090414362982e-05,7.900452541885189e-05,8.763906164352596e-05
9.916666666666668,0.00010533738677131248,8.52846816442159e-05,9.602042964892664e-05
10.000000000000002,0.00011676604744312685,9.247856165083099e-05,0.00010277452212796713
10.083333333333336,0.00012574738725741526,0.00010070313241958624,0.00011039188504875831
