time,more aversion,less aversion,neutrality
0.0,8.80043399043562,9.110095505732343,9.31094607068945
0.08333333333333331,8.796914168821608,9.102808158062523,9.303498058634107
0.16666666666666663,8.799024338125227,9.107507624852127,9.30357654344103
0.25,8.800647411828004,9.109422740785051,9.304009312418525
0.33333333333333326,8.80161821355073,9.112298126811046,9.306319271369746
0.41666666666666674,8.802554171893311,9.117311190564651,9.31130753601656
0.5,8.800650122944269,9.119022603286954,9.31288336260182
0.5833333333333333,8.80172087074962,9.117799026046036,9.315201641161057
0.6666666666666665,8.798618859580356,9.123434975757542,9.319197132930874
0.75,8.804796235781973,9.1281308916746,9.321358895861506
0.8333333333333335,8.807543046365234,9.125855503323987,9.32731149185562
0.9166666666666664,8.808157609450301,9.124700338409221,9.329251184129186
1.0,8.812750724592386,9.122472096619836,9.33082906103243
1.0833333333333335,8.81607370508979,9.119442216273262,9.330414921367847
1.1666666666666665,8.813234631672177,9.122705834810459,9.333953940861058
1.25,8.814896533120661,9.125294032233349,9.337536686215513
1.333333333333333,8.812057672984748,9.126187607560194,9.337027044631265
1.4166666666666667,8.81595711761575,9.130549065098888,9.337536317188675
1.5,8.817507110458294,9.133716364752837,9.334762541032703
1.583333333333333,8.821182815184578,9.137532331524502,9.33764464742401
1.666666666666667,8.816552210521818,9.145115312640682,9.341247167662784
1.75,8.815446001946025,9.14857074902087,9.342329258853615
1.8333333333333328,8.814853897030423,9.154994521055146,9.343053070398417
1.916666666666667,8.821884064234142,9.15609220062773,9.341274326354798
2.0,8.824854774908243,9.15903609057241,9.340747731691897
2.083333333333332,8.826303629495575,9.155115491488738,9.340277373253496
2.166666666666667,8.829740506130571,9.156901872051868,9.344793885538003
2.25,8.828842734834828,9.157284059377774,9.344817518222484
2.333333333333333,8.828294940495027,9.160685469385783,9.350952460152797
2.4166666666666665,8.821982127148003,9.1649268723213,9.356230132096064
2.5,8.818744965396622,9.165900870628079,9.35381854855861
2.583333333333333,8.819218249313925,9.167968301969355,9.35617538406268
2.666666666666666,8.816861895941654,9.170022423254718,9.35896156778456
2.75,8.814257997586386,9.171325209960749,9.361643408978436
2.8333333333333335,8.814728318966415,9.17313303888582,9.368095773206035
2.916666666666666,8.8167602416043,9.1752283546888,9.370266558004909
3.0,8.814104610014263,9.180027419955032,9.369025703970397
3.0833333333333335,8.817058813372121,9.183963338109656,9.372374937641174
3.166666666666666,8.81661735902445,9.189983720760859,9.376885571799171
3.25,8.816012823021776,9.194737434654243,9.37857358406989
3.333333333333334,8.820008695761764,9.196193605434615,9.378574889291151
3.416666666666666,8.817585156244613,9.20123793761785,9.377086119677669
3.5,8.818695879353365,9.197871461612593,9.38065679120149
3.583333333333334,8.821476200457903,9.20173728606294,9.381062725557172
3.6666666666666656,8.820382304822862,9.200715340490515,9.382249205471322
3.75,8.817261641026093,9.200133004846041,9.385745829016068
3.833333333333334,8.818038136264086,9.20423448827202,9.388802158781749
3.9166666666666656,8.817415217136983,9.206051629190458,9.387905066863254
4.0,8.819147106489833,9.210954733428121,9.390329181659663
4.083333333333334,8.821707805042122,9.213493336703719,9.387579708332082
4.166666666666664,8.821473750023237,9.213061052597281,9.392305065316643
4.25,8.820502581336454,9.220819117386624,9.393309957514477
4.333333333333334,8.824646934829547,9.226853971428579,9.40021250411549
4.416666666666664,8.827225804542657,9.22877316114746,9.398237397285772
4.5,8.824257096396169,9.230553602908753,9.397516458625692
4.583333333333333,8.82807325990989,9.232232917276944,9.398053281526073
4.666666666666666,8.826818163700368,9.238861795216966,9.394873501937656
4.75,8.828736122911659,9.24126314592869,9.391933070497062
4.833333333333333,8.831988343116041,9.237239894484839,9.391969478951808
4.916666666666666,8.83353710793437,9.239665551212301,9.396984457521794
5.0,8.833004880761932,9.23999302364476,9.39701477751968
5.083333333333333,8.832765222219779,9.242361508332232,9.392851293894823
5.166666666666666,8.833396908661129,9.23801435595109,9.39056542889827
5.25,8.833552886931976,9.235734493609806,9.393639013606808
5.333333333333332,8.832194213458614,9.23555283453824,9.394715173184906
5.416666666666667,8.832886242294759,9.237139425923587,9.392923312967808
5.5,8.834143882553539,9.242241787500621,9.390964344657167
5.583333333333333,8.832773258080215,9.240477019860885,9.39669216753546
5.666666666666667,8.838051371855615,9.235909630412134,9.39872994515707
5.75,8.83283622523557,9.22752565230562,9.404517634606753
5.833333333333332,8.834299661331569,9.228612986182776,9.407490820180952
5.916666666666667,8.837625281828007,9.222872858743923,9.406144477688889
6.0,8.83892705825131,9.224855639386734,9.410056981013977
6.083333333333332,8.836621154419394,9.224210158624848,9.407546945127903
6.166666666666667,8.83158317692343,9.22243325313015,9.412374437200707
6.25,8.830420695519193,9.224340395488216,9.415521121681753
6.333333333333332,8.830104615711072,9.226158373752707,9.418112549225336
6.416666666666668,8.830334022723482,9.230743386000265,9.426000465641764
6.5,8.827866126490795,9.23200409396772,9.426340869014416
6.583333333333332,8.822435070685438,9.23570713399461,9.425966175087483
6.666666666666668,8.820757105307797,9.234617977081369,9.432172113638861
6.75,8.81767533027414,9.237590469593561,9.431613061910468
6.833333333333332,8.815011310198457,9.238651444895694,9.431134941404379
6.916666666666668,8.806621539385624,9.240105959440276,9.425965314653723
7.0,8.801398521377228,9.239973908578488,9.425304212550166
7.083333333333332,8.802474552540332,9.23867606751523,9.427012215567016
7.166666666666668,8.800841028445328,9.23486220155065,9.428647098776922
7.25,8.802174129789785,9.230446407947309,9.427955862712842
7.333333333333331,8.80056716185268,9.229122507315836,9.435545902274288
7.416666666666668,8.796821315653917,9.23331336062285,9.440286637353816
